trade_date,loan_age,cosign,income_annual,upb,monthly_payment,fico,origbalance,mos_to_repay,repay_status,mos_to_balln
2023-01-01,38,0,125819.28,15682.33,370.64,805,26282.36,0,0,47
2023-01-01,23,0,164999.9,138847.31,1026.3,758,147437.17,0,0,218
2023-01-01,28,0,54156.96,5742.49,328.19,753,16998.34,0,0,32
2023-01-01,18,0,102168.76,59732.73,439.16,784,62516.29,0,0,223
2023-01-01,2,0,204458.28,97399.93,1020.96,796,98738.63,0,0,118
2023-01-01,33,0,79999.92,67912.91,566.27,658,72975.97,0,0,207
2023-01-01,33,0,191589.28,68212.9,557.05,819,74277.02,0,0,207
2023-01-01,11,0,82031.2,16835.72,370.77,780,19854.5,0,0,51
2023-01-01,23,0,61878.72,8549.06,269.67,780,14141.62,0,0,47
2023-01-01,2,0,124800,175301.56,3354.15,818,180617.48,0,0,58
2023-01-01,12,0,54681.12,77678.71,730.55,755,81019.76,0,0,169
2023-01-01,31,0,138132,20652.82,287.26,804,26876.96,0,0,90
2023-01-01,19,0,52000,46919.44,371.46,710,48731.72,0,0,222
2023-01-01,7,0,129174,98833.2,856.24,778,101293.73,0,0,174
2023-01-01,21,0,65920.31,38961.88,494.21,812,44941.08,0,0,100
2023-01-01,20,0,111971.49,30247.93,277.08,826,33278.78,0,0,160
2023-01-01,44,0,156451.08,47971.14,765.79,753,71368.49,0,0,77
2023-01-01,12,0,44021.16,13330.73,117.27,787,13844.68,0,0,169
2023-01-01,22,0,42550.11,5700.03,172.73,705,8870.47,0,0,38
2023-01-01,9,0,76000.08,13873.46,306.24,757,16049.07,0,0,52
2023-01-01,43,0,60772.14,51295.93,577.7,688,63230.86,0,0,137
2023-01-01,17,0,60000,23279.08,298.47,772,26530.66,0,0,104
2023-01-01,37,0,110240,40702.23,962.61,746,67752.95,0,0,86
2023-01-01,32,0,92999.92,10004.27,382.96,804,20353.8,0,0,29
2023-01-01,38,0,76999.92,32803.57,280.45,754,36149.59,0,0,202
2023-01-01,6,0,66410.26,20612.1,245.19,764,21277.01,0,0,115
2023-01-01,48,0,250000.08,4251.6,363.33,736,19312.15,0,0,13
2023-01-01,30,0,55559.92,21828.51,467.07,797,31948.35,0,0,54
2023-01-01,22,0,121576,35204.6,326.87,766,38339.8,0,0,159
2023-01-01,13,0,108000.1,62445.95,480.04,719,64219.84,0,0,227
2023-01-01,32,0,234999.96,102934.49,2279.03,750,162582.22,0,0,52
2023-01-01,30,0,180000,173435.49,2603.92,751,243698.64,0,0,90
2023-01-01,14,0,413844.23,192780.12,2317.43,695,208039.17,0,0,107
2023-01-01,15,0,102408.02,17116.92,295.31,710,20465.39,0,0,69
2023-01-01,13,0,118699.88,104422.76,1267.16,826,119304.43,0,0,107
2023-01-01,26,0,201999.98,60440.51,786.92,813,73729,0,0,95
2023-01-01,38,0,70000.06,31241.43,478.87,773,41399.45,0,0,83
2023-01-01,3,0,197999.88,93349.74,1317.58,847,96325.16,0,0,81
2023-01-01,25,0,338102.91,209469.6,2393.54,795,297554.38,0,0,156
2023-01-01,36,0,87150,41100.93,1209.63,815,82701.41,0,0,49
2023-01-01,20,0,64718.56,59695.58,567.75,756,64529.22,0,0,161
2023-01-01,22,0,68527.68,32994.67,317.04,741,35813.88,0,0,158
2023-01-01,31,0,211020,42508.08,1488.74,812,82795.16,0,0,30
2023-01-01,21,0,60822.32,3933.22,668.08,850,46793.01,0,0,64
2023-01-01,42,0,200200,34573.17,928.26,743,65216.07,0,0,85
2023-01-01,21,0,75000,6892.23,128.49,713,8790.22,0,0,64
2023-01-01,15,0,225000,67008.6,100,818,67008.6,0,0,123
2023-01-01,31,0,217320.22,87773.06,826.1,789,100191.09,0,0,149
2023-01-01,38,0,219680.01,157146.07,3108.7,807,298331.68,0,0,82
2023-01-01,18,0,65250,19527.59,186.79,706,20909.28,0,0,163
2023-01-01,26,0,80000.18,3651.45,168.11,791,8933.67,0,0,34
2023-01-01,31,0,127418.82,85744.24,887.08,751,100951.78,0,0,149
2023-01-01,12,0,115482,50216.47,1326.38,834,71334.29,0,0,48
2023-01-01,20,0,90222.6,19170.71,528.91,701,27553.52,0,0,41
2023-01-01,17,0,312357,170176.12,4577.18,758,251329.51,0,0,44
2023-01-01,30,0,212619.35,227910.08,2304.44,799,334874.48,0,0,210
2023-01-01,25,0,270834.24,16757,518.6,828,27967.81,0,0,59
2023-01-01,45,0,138864.44,44022.26,711.96,826,65173.67,0,0,76
2023-01-01,33,0,119057.16,12678.35,277.16,828,19116.72,0,0,53
2023-01-01,39,0,250900.32,10747.41,1956.98,672,188763.45,0,0,83
2023-01-01,21,0,54250.56,14258.18,139.39,777,15985.69,0,0,159
2023-01-01,8,0,79310.04,17567.18,132.05,833,17832.57,0,0,233
2023-01-01,31,0,58300.06,33190.49,502.99,744,42772.34,0,0,89
2023-01-01,27,0,121014.4,39752.58,538.69,692,47878.98,0,0,94
2023-01-01,20,0,135000,174307.64,2222.24,810,206719.09,0,0,101
2023-01-01,24,0,120265.6,43798.88,403.29,791,50520.06,0,0,156
2023-01-01,37,0,167148.8,84048.57,882.29,784,106175.17,0,0,144
2023-01-01,17,0,74545.68,54797.76,930.44,834,65771.05,0,0,69
2023-01-01,18,0,163155.2,91272.41,761.34,759,96925.87,0,0,164
2023-01-01,30,0,150894.6,57610.82,1227.44,762,112370.8,0,0,55
2023-01-01,15,0,183850.5,49984.97,1252.53,786,68762.33,0,0,45
2023-01-01,21,0,98104.5,71644.96,914.82,757,83743.68,0,0,100
2023-01-01,9,0,203320,24823.15,821.84,820,44375,0,0,52
2023-01-01,14,0,144146.88,16631.42,196.4,810,18337.34,0,0,106
2023-01-01,25,0,106500,11059.57,339.16,783,17998.72,0,0,36
2023-01-01,41,0,168893.04,64383.74,1700.76,827,123264.3,0,0,44
2023-01-01,2,0,54953.6,8120.77,161.82,759,8401.58,0,0,59
2023-01-01,53,0,73000.2,59629,655.23,773,75151.77,0,0,128
2023-01-01,28,0,235000.08,28808.66,955.06,818,52330.28,0,0,33
2023-01-01,4,0,149160.79,31387.63,289.58,691,31738.14,0,0,176
2023-01-01,25,0,241000,67157.77,858.09,803,81756.99,0,0,96
2023-01-01,4,0,114000,26150.64,297.44,768,26848.75,0,0,116
2023-01-01,16,0,65000.16,23868.92,306.57,714,27616.15,0,0,104
2023-01-01,32,0,131820,63955.69,2356.99,702,120501.24,0,0,28
2023-01-01,13,0,51706.2,23361.44,396.78,712,26812.8,0,0,71
2023-01-01,16,0,125000,20393.37,167.26,815,21801.42,0,0,164
2023-01-01,22,0,180944.01,130614.3,1139.83,785,142687.14,0,0,159
2023-01-01,20,0,68347.8,3664.51,278.55,826,14646.51,0,0,41
2023-01-01,37,0,192000,11444.99,591.67,839,32303.23,0,0,23
2023-01-01,27,0,65270.4,3716.5,655.35,737,44072.88,0,0,58
2023-01-01,45,0,63697.66,22965.9,375.37,743,33789.97,0,0,121
2023-01-01,33,0,59000,3308.84,120.78,760,24889.59,0,0,64
2023-01-01,20,0,110669,64529.78,582.5,809,70015.39,0,0,161
2023-01-01,24,0,300009.84,45142.14,839,818,61029.41,0,0,60
2023-01-01,25,0,45000,9014.29,92.86,788,11280.2,0,0,155
2023-01-01,14,0,46280,26501.41,239.9,744,27968.26,0,0,167
2023-01-01,46,0,103000.08,25732.71,430.69,772,39845.1,0,0,74
2023-01-01,31,0,61339.2,10005.09,390.61,832,19667.58,0,0,29
2023-01-01,50,0,70000.06,12182.49,1400.54,749,80045.66,0,0,61
2023-01-01,21,0,82941.09,47499.2,382.28,684,50197.02,0,0,219
2023-01-01,25,0,111276.3,54453.05,497.81,785,59633.01,0,0,157
2023-01-01,19,0,100000,12240.66,163.29,845,15209.52,0,0,102
2023-01-01,17,0,55008,42190.92,352.29,726,43705.12,0,0,223
2023-01-01,17,0,150230.34,170209.06,1533.64,764,190380.7,0,0,165
2023-01-01,45,0,79999.92,96889.46,754.69,708,98981.4,0,0,195
2023-01-01,55,0,66800.16,14646.66,342.22,817,39572.73,0,0,125
2023-01-01,11,0,109454.8,22008.76,256.58,783,23743.2,0,0,110
2023-01-01,20,0,144500.04,9200.88,243.78,797,13054.68,0,0,41
2023-01-01,15,0,79999.92,38494.44,459.49,797,42748.73,0,0,105
2023-01-01,33,0,224890.96,9359.05,1217.78,824,65889.97,0,0,27
2023-01-01,19,0,90000,70112.33,883.54,773,83423.97,0,0,102
2023-01-01,21,0,249999.88,36090.18,1004.25,850,55202.89,0,0,39
2023-01-01,20,0,72128.68,31546.05,282.49,805,34244.65,0,0,161
2023-01-01,24,0,85102.16,32484.3,439.3,766,40177.06,0,0,97
2023-01-01,42,0,248000.02,39283.01,597.9,826,57475.43,0,0,79
2023-01-01,42,0,101920,17192.86,202.41,728,23215.58,0,0,138
2023-01-01,4,0,275350.92,52772.25,440.06,759,53488.93,0,0,176
2023-01-01,32,0,80435,27247.65,598.12,810,41424.13,0,0,52
2023-01-01,23,0,60451.22,48600.64,720.96,766,62751.95,0,0,99
2023-01-01,11,0,176321.83,58568.49,547.26,758,76316.85,0,0,230
